job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description,min_salary,max_salary,high_comission,negotiable,experience_fill
Agent & Broker underwrite Manager /ผู้จัดการส่วนรับประกันภัยตัวแทนและนายหน้า,"[('insurance', 'underwriter')]",,,Salary provided,"Full Time, Permanent",[],[],"หน้าที่ความรับผิดชอบ :กำกับดูแลการพิจารณารับประกันภัยทางทะเลและเบ็ดเตล็ด(ประกันภัยใหม่การต่ออายุประกันภัย สลักหลังกรมธรรม์) ของงานที่มาจากในแหล่งงานตัวแทนและนายหน้าพิจารณารับประกันภัยธุรกิจจากแหล่งงานตัวแทนนายหน้า ภายใต้เงื่อนไขความคุ้มครองตามประเภทกรมธรรม์ หลักเกณฑ์เป้าหมายและนโยบายของบริษัทฯวางแนวปฏิบัติในการกำหนดเงื่อนไขความคุ้มครองและเบี้ยประกันภัยให้สอดคล้องกับแนวปฏิบัตินโยบายการรับประกันภัยและกฎหมายที่เกี่ยวข้องจัดหาบริษัทประกันภัยร่วม บริษัทประกันภัยต่อ บริษัทนายหน้าประกันภัย และบริษัทสำรวจภัยในการพิจารณารับประกันภัย หรือการจัดสรรภัยกำหนดอัตราเบี้ยประกันและความคุ้มครองที่เหมาะสมวิเคราะห์ผลการรับประกันภัยเพื่อนำข้อมูลมาบริหารจัดการและวางแผนดำเนินงานให้เกิดประสิทธิภาพสูงสุดแก่หน่วยงานศึกษาการเปลี่นแปลงของปัจจัยแวดล้อมทั้งภายในและภายนอกที่มีผลกระทบต่อการรับประกันภัยกำหนดแนวทางป้องกัน แก้ไขปัญหาพัฒนาประสิทธิภาพและระบบงานนำเสนอผู้บริหารคุณสมบัติ :วุฒิปริญญาตรีขึ้นไป สาขาสถิติ,คณิตศาสตร์ ,ประกันภัย หรือสาขาอื่น ๆ ที่เกี่ยวข้องประสบการณ์ในตำแหน่งในส่่วนงานรับประกันภัยอย่างน้อย 3-5 ปี ในแหล่งงานนายหน้าและตัวแทน (Agent & Broker)เพศชาย-หญิง อายุ 28 - 35 ปีKrungthai Panich Insurance Public Company Limited.1122 KPI Tower, New Petchaburi Road, Makkasan, Ratchathewi, Bangkok 10400Tel. 02-624-1111 Ext. 6512 Fax. 02-624-1234Website:www.kpi.co.thMap:Click Link",,,False,False,ในตำแหน่งในส่่วนงานรับประกันภัยอย่างน้อย 3-5 ปี ในแหล่งงานนายหน้าและตัวแทน (Agent & Broker)เพศชาย-หญิง อายุ 28 - 35 ปี
Plant Director (Electronic) (Salary 200k+),"[('engineering', 'manufacturing-production'), ('manufacturing', 'product-development-management'), ('management', 'top-executives')]",,,Salary provided,"Full Time, Permanent",[],[],"Main duties and responsibilities:Overseeing and supervising the work flow of manufacturing, maintenance and quality functions in a safe environmentEnsuring products produced are accurate and meet quality standards and customers’ expectations as well as are delivered on timeIdentifying and implementing process improvement initiativesMaintain plant policies and ensure Health & Safety policy is followed by all employees.Direct daily workforce activities in order to meet throughput goals, compliant with established quality standards.Proactively coordinate with production planners to maximize the operating efficiency of the plant.Participate in constant search for ways to reduce waste; over production, and defects whenever possible.Demonstrated leadership and management skills to direct employees.Proactively identify ""skill set gaps"" in current production team and recommend necessary improvements.Provide regular feedback to employees on performance and communicate areas of improvementCandidate Profile:At least 10 years supervisory experience in a manufacturing production environmentWorking experience in Electronic manufacturingDemonstrated leadership, decision making, team work and organizational skillsAbility to resolve conflict and effective negotiation skillsAbility to effectively promote safe work practices and motivate others to follow your lead.Demonstrated ability to handle multiple priorities in a fast-paced environmentIdentify and implement process improvements.Able to work at Ayuthaya",,,False,False,10 year
CFO (IPO Process - 180K),"[('accounting', 'general-accounting'), ('banking-finance', 'analysis'), ('management', 'top-executives')]",,,Above THB120000 /month,Full Time,"[""Job ResponsibilitiesDrive the company's financial planningPerform risk management by analyzing the organization's liabilities and investmentDecide on investment strategies by considering cash and liquidity risksControl and evaluate the organization’s fundraising plans and capital structureEnsure cash flow is appropriate for the organizations’s operationsSupervise all finance personnel (controllers, treasurers etc.)Prepare reliable current and forecasting reportsSet up and oversee the company’s finance IT systemEnsure compliance with the law and company’s policiesManage team of financial controllers and financial analysts""]","['sMale or female, aged 37 - 45 years old.Bachelor’s Degree inFinance/ or Accounting, holding a CPD is a plus.7 - 10 years’ experience in managing overall accounting and finance functions in food industry is preferableUnderstanding and Planning an Initial Public Offering (IPO)Minimum 5 years experience at senior management in Public CompanyPossess know-how to get the company listed on SET/ MAI.Strong analytical skills and experience interpreting a strategic vision into an operational modelFluent in English and computer literacyBe able to work in Phutthamonthon Sai 4 areaInterested applicants, please send your resume to: Ms. SuthidaEmail: suthida.boonmacharoen @rsmthailand.comFor more information, please call 086-5429155 ']","Job ResponsibilitiesDrive the company's financial planningPerform risk management by analyzing the organization's liabilities and investmentDecide on investment strategies by considering cash and liquidity risksControl and evaluate the organization’s fundraising plans and capital structureEnsure cash flow is appropriate for the organizations’s operationsSupervise all finance personnel (controllers, treasurers etc.)Prepare reliable current and forecasting reportsSet up and oversee the company’s finance IT systemEnsure compliance with the law and company’s policiesManage team of financial controllers and financial analystsQualificationsMale or female, aged 37 - 45 years old.Bachelor’s Degree inFinance/ or Accounting, holding a CPD is a plus.7 - 10 years’ experience in managing overall accounting and finance functions in food industry is preferableUnderstanding and Planning an Initial Public Offering (IPO)Minimum 5 years experience at senior management in Public CompanyPossess know-how to get the company listed on SET/ MAI.Strong analytical skills and experience interpreting a strategic vision into an operational modelFluent in English and computer literacyBe able to work in Phutthamonthon Sai 4 areaInterested applicants, please send your resume to: Ms. SuthidaEmail: suthida.boonmacharoen @rsmthailand.comFor more information, please call 086-5429155",120000,,False,False,"37 - 45 years old.Bachelor’s Degree inFinance/ or Accounting, holding a CPD is a plus.7 - 10 years’ experience in managing overall accounting and finance functions in food industry is preferableUnderstanding and Planning an Initial Public Offering (IPO)Minimum 5 year"
Assistant Company Secretary (Legal),"[('management', 'general-management')]",,,Salary negotiable,Permanent,[],[],ประสานงานหรือประชุมร่วมกับหน่วยงานที่เกี่ยวข้องทั้งภายในและภายนอกบริษัทฯ เพื่อแจ้งข้อมูลรายงานต่างๆให้รับทราบ เพื่อให้การดำเนินงานของบริษัทเป็นไปอย่างมีประสิทธิภาพมากขึ้นดำเนินการและตรวจสอบเอกสารสำคัญต่างๆ เพื่อให้คณะกรรมการลงนามจัดเตรียมหัวข้อการประชุม / นัดหมายการประชุม / จัดเตรียมเอกสารการประชุม / เตรียมห้องประชุม / จัดทำรายงานการประชุม และแจกจ่ายให้กับผู้เกี่ยวข้องได้รับทราบ เช่น การประชุมผู้ถือหุ้นจัดทำและเก็บรักษาทะเบียนกรรมการ นำส่งรายงานการมีส่วนได้เสียให้แก่ประธานกรรมการและประธานกรรมการตรวจสอบทราบ และงานตามที่หลักการกำกับดูแลกิจการที่ดีติดต่อประสานงานกับหน่วยงานที่กำกับดูแล เช่น ตลาดหลักทรัพย์แห่งประเทศไทย และดูแลการเปิดเผยข้อมูล และรายงานสารสนเทศ ต่อหน่วยงานที่กำกับดูแลและสาธารณชนให้ถูกต้องครบถ้วนตามกฎหมายหน้าที่อื่นๆตามที่ได้รับมอบหมายจากคณะกรรมการบริษัท,,,False,True,
Project Planner,"[('engineering', 'electrical-electronics'), ('management', 'general-management')]",,,Salary provided,Permanent,"['ResponsibilitiesTo establish and update the Detailed Project Schedule(DPS)based on common objectives within the project, including leading the harmonization and integration of sub-schedules from all parties involved in the project To tracks and reports progress, against the agreed schedule and develop scenarios, mitigation or back-up plansTo monitor and report on schedule performance within all functions and parties involved in the projectTo participate and/or lead meetings related to DPS topicsTo analysis critical paths of the schedule to identify risks and opportunities and develop mitigation or recovery plans']","['Engineering degree in any disciplineMinimum 3-5 years of experience in Project Planning and Rail Transport business is advantageProficiency in English, MS Office andPrimavera ProgramStrong in planning, organizing, analytical skills and strategic thinking ']","ResponsibilitiesTo establish and update the Detailed Project Schedule(DPS)based on common objectives within the project, including leading the harmonization and integration of sub-schedules from all parties involved in the project To tracks and reports progress, against the agreed schedule and develop scenarios, mitigation or back-up plansTo monitor and report on schedule performance within all functions and parties involved in the projectTo participate and/or lead meetings related to DPS topicsTo analysis critical paths of the schedule to identify risks and opportunities and develop mitigation or recovery plansQualificationEngineering degree in any disciplineMinimum 3-5 years of experience in Project Planning and Rail Transport business is advantageProficiency in English, MS Office andPrimavera ProgramStrong in planning, organizing, analytical skills and strategic thinking",,,False,False,3-5 year
"Deputy Head, Operation Team (Risk Management) [JOB ID 16074]","[('management', 'top-executives')]",,,THB90000 - 160000 /month (negotiable),"Full Time, Permanent","['Job Description:- Direct report to Operation head (currently Managing Director) - Conduct in-depth data analysis and implement solutions to enhance risk management through development of scoring system, decision criteria etc.- communicate with top management and other functions (sales, IT, operation and collection) as well as management of junior staff (3-5 members)- Report to the RHQ in Singapore and collaborate with other local businesses (e.g. India, Indonesia, Vietnam etc.) to enhance risk management standard regionally']","[':- Male/Female - At least 10 years of working experience - At least 5 years of SME/consumer risk management (functional) experience or 10 years of SME/consumer finance (industry) experience- Fluent in English and Thai Preferences: - If able to communicate in Japanese is a plusLocation: Bang Sue, BangkokBusiness/Industry:Banking,Finance,Securities & InsuranceWorking Hours: Monday – Friday, 08:00－17:30alary Range:100000THB～150000THBIf you are interested to apply, kindly send your CV to K. Nuttakarn or for more information, please call her at 02-108-1250. Kindly indicate JOB ID when you send your CV and/or whenever inquiring more information about the job. ']","Job Description:- Direct report to Operation head (currently Managing Director) - Conduct in-depth data analysis and implement solutions to enhance risk management through development of scoring system, decision criteria etc.- communicate with top management and other functions (sales, IT, operation and collection) as well as management of junior staff (3-5 members)- Report to the RHQ in Singapore and collaborate with other local businesses (e.g. India, Indonesia, Vietnam etc.) to enhance risk management standard regionallyQualification:- Male/Female - At least 10 years of working experience - At least 5 years of SME/consumer risk management (functional) experience or 10 years of SME/consumer finance (industry) experience- Fluent in English and Thai Preferences: - If able to communicate in Japanese is a plusLocation: Bang Sue, BangkokBusiness/Industry:Banking,Finance,Securities & InsuranceWorking Hours: Monday – Friday, 08:00－17:30alary Range:100000THB～150000THBIf you are interested to apply, kindly send your CV to K. Nuttakarn or for more information, please call her at 02-108-1250. Kindly indicate JOB ID when you send your CV and/or whenever inquiring more information about the job.",90000,160000,False,True,"3-5 members)- Report to the RHQ in Singapore and collaborate with other local businesses (e.g. India, Indonesia, Vietnam etc.) to enhance risk management standard regionallyQualification:- Male/Female - At least 10 years of working experience - At least 5 years of SME/consumer risk management (functional) experience or 10 year"
Business Strategy Consultant (Japanese Speaking up to 150k),"[('professional-services', 'business-consultancy'), ('management', 'general-management')]",,,THB70000 - 160000 /month (negotiable),Permanent,"['Our client is a Japanese start-up company, real estate consulting and development is now, looking for an experience candidate as the detail below.Position:  Business Strategy ConsultantSalary:        up to 150kLocation:      BTS&MRT']","[':Thai Nationality, Male & FemaleAble to analyse data or planning strategyExcellent in Japanese (JLPT N2 up) and EnglishExperience in consulting is an advantageJob detail:To plan implement new projects or process to develop for client.Conducting business reviews to ensure clients are satisfied with their products and services.Attending meetings with clients to build relationships with existing accounts.Monitoring company performance against service level agreements and flagging potential issues.Passing leads to the developer and following up on progress.Liaising with internal departments to ensure client needs are fulfilled effectively.Interested candidate, please send your resume in English along with your expected salary andrecent phototo us by E-mail.JAC Personnel Recruitment Ltd.Emporium Tower, 10F / 6-7, 622 Soi Sukhumvit 24,Sukhumvit Road, Klongton, Klongtoey, Bangkok 10110Tel: 0-2261-1270Please contact:Khun Panupong ']","Our client is a Japanese start-up company, real estate consulting and development is now, looking for an experience candidate as the detail below.Position:  Business Strategy ConsultantSalary:        up to 150kLocation:      BTS&MRTQualification:Thai Nationality, Male & FemaleAble to analyse data or planning strategyExcellent in Japanese (JLPT N2 up) and EnglishExperience in consulting is an advantageJob detail:To plan implement new projects or process to develop for client.Conducting business reviews to ensure clients are satisfied with their products and services.Attending meetings with clients to build relationships with existing accounts.Monitoring company performance against service level agreements and flagging potential issues.Passing leads to the developer and following up on progress.Liaising with internal departments to ensure client needs are fulfilled effectively.Interested candidate, please send your resume in English along with your expected salary andrecent phototo us by E-mail.JAC Personnel Recruitment Ltd.Emporium Tower, 10F / 6-7, 622 Soi Sukhumvit 24,Sukhumvit Road, Klongton, Klongtoey, Bangkok 10110Tel: 0-2261-1270Please contact:Khun Panupong",70000,160000,False,True,
Category Management Officer/เจ้าหน้าที่แผนกบริหารการจัดการวางสินค้า,"[('management', 'general-management')]",,,Salary negotiable,"Full Time, Permanent",[],[],หน้าที่ความรับผิดชอบหลัก-บริหารจัดการ จัดเรียงสินค้าตามกลยุทธ์บริษัทฯ ในห้าง Modern Tradeทั่วประเทศ-คิดกลยุทธ์ในการเพิ่มยอดขายรายสาขาให้เห็นผล เช่น กิจกรรมส่งเสริมการขาย ฯลฯ-บริหารจัดการสินค้าตราฉัตรที่อยู่ในสาขา-วิเคราะห์ ประเมิน สถานการณ์ ยอดขายให้กับฝ่ายขาย Modern Trade ใช้ในการกำหนดกลยุทธเพื่อผลักดันยอดขาย-บริหารจัดการ พัฒนา บุคคลากรในสังกัดให้ได้มาตรฐานที่กำหนด- ติดต่อประสานงานการวางสินค้าติดต่อประสานงานกับทีมจัดซื้อของ Modern Trade ของห้างค้าปลีก- ทำงานใกล้ชิดกับKey Account เพื่อผลักดันยอดขายและวางแผนการ- กระตุ้นและบริหารงาน เจ้าหน้าที่ขาย PC ภายในห้าง Modern Tradeคุณสมบัติ-จบการศึกษาระดับปริญญาตรี อายุไม่เกิน 28ปี-มีประสบการณ์ด้านการขาย และด้านการบริหารทีมขาย 1- 2ปี-เข้าใจการดำเนินการและบริหารให้เป็นไปตามแผน-มีความสามารถในการใช้คอมพิวเตอร์ระดับพื้นฐาน-มีความสามารถด้ารการทำงานเป็นทีมที่มีประสิทธิภาพ- สามารถทำงานภายใต้ความกดดันได้- สามารถบริหารทีมขาย PC ในห้าง Modern Trade ได้,,,False,True,ด้านการขาย และด้านการบริหารทีมขาย 1- 2ปี
Merchandise Management/เจ้าหน้าที่แผนกบริหาร  Merchandise,"[('management', 'general-management')]",,,Salary negotiable,Permanent,[],[],หน้าที่ความรับผิดชอบหลัก -บริหารจัดการ จัดเรียงสินค้าตามกลยุทธ์บริษัทฯ ในห้างModern Trade ทั่วประเทศ -คิดกลยุทธ์ในการเพิ่มยอดขายรายสาขาให้เห็นผล เช่น กิจกรรมส่งเสริมการขาย ฯลฯ -บริหารจัดการสินค้าตราฉัตรที่อยู่ในสาขา -วิเคราะห์ ประเมิน สถานการณ์ การขาย ให้กับฝ่ายขายใช้ในการกำหนดกลยุทธ์ต่อไป -บริหารจัดการ พัฒนา บุคคลากรในสังกัดให้ได้มาตรฐานที่กำหนดคุณสมบัติ ของตำแหน่งงาน -จบการศึกษาระดับปริญญาตรี อายุไม่เกิน30 ปี -มีประสบการณ์ด้านการขาย และด้านการบริหาร1-3 ปี -เข้าใจการดำเนินการและบริหารให้เป็นไปตามแผน -มีความสามารถในการใช้คอมพิวเตอร์ระดับพื้นฐาน -มีความสามารถด้ารการทำงานเป็นทีมที่มีประสิทธิภาพ,,,False,True,ด้านการขาย และด้านการบริหาร1-3 ปี
General Manager (Automotive OEM - Body Shop Layout of line assembly automotive )/ผู้จัดการทั่วไป,"[('management', 'general-management')]",,,THB70000 - 120000 /month,Full Time,"[""General Manager or Project CoordinateJob Description:Branch Responsible AbilityProject Coordinates, Communication with China's team abilityGovernment relationship, Need Develop and maintain relationship with local governmentProject stand by, Need have control & robot knowledge and can replace project team to stand by or manage stand by suppliersKnowledge of Automation system line builder, provide the integrated system and solution to Automotive OEM car makers including body assembly system and powertrain assembly system and industrial robots.""]","['s:Strong ability to build relationships, lead others into action, and work exceptionally well under pressureExcellent communication skills, both in writing and face-to-face Complex Problem SolvingStrong interpersonal skillsAt least 4 years solid experience as Site Supervisor or site management or project Coordinate2nd language is preferred, such as Mandarin and EnglishTechnical Knowledge in Control and robot engineeringDegree in Engineering as education backgroundSalary:60,000 - 120,000 bahtWorking Location:RayongWorking hour: Monday-Friday (8.30-17.30 hrs)If you are interested, please submit your Resume (English) with your recent photo, present salary and expected salaryADECCO BANGNA LIMITED909 Ample Tower, 4thFloor, Room no. 4/6 Bangna-Trad Road,Bangna, Bangna, Bangkok 10260Tel: 02-348-3888 Fax: 02-348-3880Contact: Khun OpasTel: 089-497-7993Line: 0894977993 ']","General Manager or Project CoordinateJob Description:Branch Responsible AbilityProject Coordinates, Communication with China's team abilityGovernment relationship, Need Develop and maintain relationship with local governmentProject stand by, Need have control & robot knowledge and can replace project team to stand by or manage stand by suppliersKnowledge of Automation system line builder, provide the integrated system and solution to Automotive OEM car makers including body assembly system and powertrain assembly system and industrial robots.Qualifications:Strong ability to build relationships, lead others into action, and work exceptionally well under pressureExcellent communication skills, both in writing and face-to-face Complex Problem SolvingStrong interpersonal skillsAt least 4 years solid experience as Site Supervisor or site management or project Coordinate2nd language is preferred, such as Mandarin and EnglishTechnical Knowledge in Control and robot engineeringDegree in Engineering as education backgroundSalary:60,000 - 120,000 bahtWorking Location:RayongWorking hour: Monday-Friday (8.30-17.30 hrs)If you are interested, please submit your Resume (English) with your recent photo, present salary and expected salaryADECCO BANGNA LIMITED909 Ample Tower, 4thFloor, Room no. 4/6 Bangna-Trad Road,Bangna, Bangna, Bangkok 10260Tel: 02-348-3888 Fax: 02-348-3880Contact: Khun OpasTel: 089-497-7993Line: 0894977993",70000,120000,False,False,4 year
Corporate Strategy & Development (Manager up to management levels),"[('management', 'general-management')]",,,Salary provided,"Full Time, Permanent","['Responsibilities:Collaborate effectively with team members and stakeholders in the development and execution of strategy projectsResearch and apply critical thinking to industry trends, competitor dynamics and current events to provide relevant business insightsStructure complex business problems into project frameworks that can be analyzed and solvedPerform quantitative analysis, including building and organizing large datasetsDesign surveys conduct interviews and facilitate group discussionsBuild business cases in support of key decisions and growth opportunitiesSynthesize findings and summarize a broad range of data inputs into frameworks that enable clear communication of data and insightsCommunicate findings to team members and stakeholders in an insightful and persuasive mannerManage multiple projects and stakeholders']","['s:Bachelor degree in Business, Finance or Economics (or equivalent), Master degree is preferred but is not requiredMinimum of 3 years of work experience at a consulting firm, financial institution or other large company in a corporate strategy group or a role with high strategic impact Excellent research skills with experience in market and company analysisWritten, oral and presentation skills necessary to successfully influence senior executivesStrong analytical approach; structured thinkerSuperior problem identification, structuring, and analysis skillsDeep understanding of industry dynamics, value creation opportunities, and use of technology for competitive advantageAn aptitude for creative problem solving and client interaction on both a team and individual levelDemonstrated leadership in professional settingFollow us:- Facebook: Centralgroupjobs- Line: @Centralgroupjobs ']","Responsibilities:Collaborate effectively with team members and stakeholders in the development and execution of strategy projectsResearch and apply critical thinking to industry trends, competitor dynamics and current events to provide relevant business insightsStructure complex business problems into project frameworks that can be analyzed and solvedPerform quantitative analysis, including building and organizing large datasetsDesign surveys conduct interviews and facilitate group discussionsBuild business cases in support of key decisions and growth opportunitiesSynthesize findings and summarize a broad range of data inputs into frameworks that enable clear communication of data and insightsCommunicate findings to team members and stakeholders in an insightful and persuasive mannerManage multiple projects and stakeholdersQualifications:Bachelor degree in Business, Finance or Economics (or equivalent), Master degree is preferred but is not requiredMinimum of 3 years of work experience at a consulting firm, financial institution or other large company in a corporate strategy group or a role with high strategic impact Excellent research skills with experience in market and company analysisWritten, oral and presentation skills necessary to successfully influence senior executivesStrong analytical approach; structured thinkerSuperior problem identification, structuring, and analysis skillsDeep understanding of industry dynamics, value creation opportunities, and use of technology for competitive advantageAn aptitude for creative problem solving and client interaction on both a team and individual levelDemonstrated leadership in professional settingFollow us:- Facebook: Centralgroupjobs- Line: @Centralgroupjobs",,,False,False,3 year
Corporate Assistant,"[('admin-hr', 'secretary-personal-assistant'), ('management', 'general-management')]",,,Salary provided,Full Time,"['Corporate Assistant & Corporate Affair (New graduate welcome)Challenge yourself, learn many topics, flexible hours!Who we are:We are a transportation tech company with extensive experiences in both software and hardware. With positive feedbacks from our pilot, we are preparing for expansion in Bangkok and many cities around the world. We are looking for leaders and champions to help us grow.We are a small and agile team that will soon grow rapidly. We make things happen and are looking for similar entrepreneurial spirits to join our team.Why us:Good compensation, opportunities to earn more responsibilities and compensations in your early careerFlexible hours that suits your lifestyleWork with a talent team. Couple of us had worked in Silicon Valley, at Boston Consulting Group, and went to Stanford, Cambridge, Cornell, RWTH-AachenWe take our pride in people development, we care about you and how you will grow from working with usWe are passionate about problem that we are solvingWhat we look for:If you want to challenge and discover yourself, while making positive impacts, join us. With our fast growing pace, you can progress quickly with the company (both compensations and responsibilities) and grow into different position within 18-24 months, if you are ready, willing, and able.Do not concern about your age or experiences. If you are driven, we are here to coach you for future role.Responsibilities:You will support CEO and team to ensure that operation run smoothly by providing administration support onCorporate Assistant & Public Affairs     - Coordinate and manage projects between our partners and UMT     - Liaise with government agencies such as BOI, Department of Land Transport, Environmental agencies to promote benefits of MuvMi and how MuvMi can drive positive changes     - Connect with local communities/leaders to work on how MuvMi can benefits the localBusiness administration    - Support business development work as needed, focusing on vehicle products    - Support with paper documents for company registration as neededAdmin administration    - Keep track of all legal & registration documentsSupport business needs    - Support the company in other different roles as needed in an early stage company']","['sNew graduates are welcomeBackground in Business Administration or Political Science or Legal is preferredGood command of English & Computer LiteracyWilling to learn and challenge yourselfWell organizeHighly discipline & punctualDrive for improvementsAge 18-30Preferred at least bachelor degreeOffice location:Head Office :33 Space, Soi Pradipat 17, Pradipat Road, Phaya Thai, Bangkok 10400Compensations & BenefitsIncentive schemes and guaranteed bonusOn the job training/coachingSocial welfareFlexible work hours ']","Corporate Assistant & Corporate Affair (New graduate welcome)Challenge yourself, learn many topics, flexible hours!Who we are:We are a transportation tech company with extensive experiences in both software and hardware. With positive feedbacks from our pilot, we are preparing for expansion in Bangkok and many cities around the world. We are looking for leaders and champions to help us grow.We are a small and agile team that will soon grow rapidly. We make things happen and are looking for similar entrepreneurial spirits to join our team.Why us:Good compensation, opportunities to earn more responsibilities and compensations in your early careerFlexible hours that suits your lifestyleWork with a talent team. Couple of us had worked in Silicon Valley, at Boston Consulting Group, and went to Stanford, Cambridge, Cornell, RWTH-AachenWe take our pride in people development, we care about you and how you will grow from working with usWe are passionate about problem that we are solvingWhat we look for:If you want to challenge and discover yourself, while making positive impacts, join us. With our fast growing pace, you can progress quickly with the company (both compensations and responsibilities) and grow into different position within 18-24 months, if you are ready, willing, and able.Do not concern about your age or experiences. If you are driven, we are here to coach you for future role.Responsibilities:You will support CEO and team to ensure that operation run smoothly by providing administration support onCorporate Assistant & Public Affairs     - Coordinate and manage projects between our partners and UMT     - Liaise with government agencies such as BOI, Department of Land Transport, Environmental agencies to promote benefits of MuvMi and how MuvMi can drive positive changes     - Connect with local communities/leaders to work on how MuvMi can benefits the localBusiness administration    - Support business development work as needed, focusing on vehicle products    - Support with paper documents for company registration as neededAdmin administration    - Keep track of all legal & registration documentsSupport business needs    - Support the company in other different roles as needed in an early stage companyQualificationsNew graduates are welcomeBackground in Business Administration or Political Science or Legal is preferredGood command of English & Computer LiteracyWilling to learn and challenge yourselfWell organizeHighly discipline & punctualDrive for improvementsAge 18-30Preferred at least bachelor degreeOffice location:Head Office :33 Space, Soi Pradipat 17, Pradipat Road, Phaya Thai, Bangkok 10400Compensations & BenefitsIncentive schemes and guaranteed bonusOn the job training/coachingSocial welfareFlexible work hours",,,False,False,
FINANCE CONTROLLER,"[('accounting', 'general-accounting'), ('accounting', 'others'), ('management', 'top-executives')]",,,Salary negotiable,Permanent,[],[],"Job Overview:FINANCE CONTROLLER will be a key role in contributing to deliver of key strategies and initiatives in relation to corporate business strategy, direction, corporate sustainability in accordance with corporate policy and business objectives.Job Responsibilities:Budgeting and ReportingLead and facilitate corporate annual operating plan and budget processConduct monthly operation performance review and analysisAnalyze and identify cost savings or efficiency opportunities and develop recommendations and action plans for improvement,Contribute to optimize the company'sprofitability performance and ensure control environment existsand operates effectivelyCost ManagementDevelop product costing model to serve cost management decision makingDrive the implementation and sustainment of product costing model to support the most effective management of all related costsConduct regular overhead review with related functionsAnalyze and initiate cost and productivity improvement areas to optimize cost effectivenessParticipate Inventory Management team to ensure efficient inventory managementCorporate Key ContributionsDevelop and support company-wide culture of LeanProvide cross-function trainings to promote learning organizationProvide support to ensure company projects are completed on time, on budget, and to required standardsFinance & Accounting Function AssuranceSupports best practice approaches and implements further effectiveness and efficiency projects in the finance and accounting functionConduct continuous training regarding accounting policies and standards to Finance and Accounting teamOthersAd-hoc and other duties/projects where requiredJob Requirements :Bachelors or Masters qualifications in Finance, Economics, Accounting, Business AdministrationMinimum 10 years related experienceExperience with ERPGood command of English and ThaiStrong analytical and problem solving skillsStrong commercial acumen and business knowledgeEnergetic and motivated personality with great multi-taskingExcellent interpersonal and communication skills",,,False,True,10 year
"TEAM LEADER, ACCOUNTING","[('accounting', 'general-accounting'), ('management', 'top-executives')]",,,Salary negotiable,Permanent,[],[],"We are currently seeking a qualified candidate for the position ofTEAM LEADER, ACCOUNTING to join our team.Team Leader, Accounting will be accountable for General Accounting, Fixed Asset Accounting, Budget Control, Account Receivable and providing support on other activities as needed.JOB DESCRIPTION:General Accounting Prepare financial statement and annual reports with analysis  Review and maintain financial records in compliance with accepted policies and procedures Reconcile and maintain balance sheet accounts Resolve accounting discrepancies Coordinate and prepare documents for audit Fixed Asset Accounting Ensure the tracking of fixed asset acquisitions, dispositions, relocation of all fixed assets in proper control Track the compilation of project costs, verify project acceptance, and capitalize when completed. Maintain FA Register in compliance to Accounting Standards, Tax & BOI Requirement, and Company Policy Conduct periodic reviews of fixed assets  Reconcile FA register vs General ledger and recommend adjustment journals Prepare and review fixed asset reports  Prepare cash outflow projection of CAPEX project Budget Control Review and consolidate departments’ CAPEX and OPEX budget proposal  Submit budget recommendation for approval or rejection  Create and maintain internal order budget for spending control  Review purchase requisition to ensure correctly categorized and in-line with Accounting Standard and company policyAccount Receivable Accuracy and completeness check of billing, collection documents and withholding tax certificates Sale tax report and reconciliation  Month-end closing, reconciliation and reporting Other Continuous improvement in responsible areas  Other assignments from superior QUALIFICATION: Bachelor’s degree in accounting  At least 5 years experienced in Accounting  Minimum 2 years working with ERP  Having a understanding of professional accounting practices, principles, tax and regulations Having organizational and interpersonal skills  Detail oriented person  Good analytical and problem solving skills  Good communication in Thai & English",,,False,True,5 year
